Symbol,Description,Local Symbol,IPO Date,Category1,Category2,Category3,GICS Sector,ISIN,SEDOL,Market Cap,Currency,Actions
TT:1217,AGV Products Corporation,1217,1/5/2000,Global Equity,Common stocks,Emerging markets,Consumer Staples,TW0001217008,,"5,464,368,640",TWD,Analyze
TT:4414,"Roo Hsing Co., Ltd",4414,1/5/2000,Global Equity,Common stocks,Emerging markets,Consumer Discretionary,TW0004414008,6203234,"5,265,623,552",TWD,Analyze
TT:2228,IRON FORCE INDUSTRIAL LTD,2228,3/12/2013,Global Equity,Common stocks,Emerging markets,Consumer Discretionary,TW0002228004,B4KBHT8,"5,259,153,408",TWD,Analyze
TT:2538,Kee Tai Properties Co. Ltd,2538,1/5/2000,Global Equity,Common stocks,Emerging markets,Real Estate,TW0002538006,6485292,"5,217,542,656",TWD,Analyze
TT:9934,Globe Union Industrial Corp,9934,1/5/2000,Global Equity,Common stocks,Emerging markets,Unknown,TW0009934000,6154707,"5,211,286,016",TWD,Analyze
TT:2405,Shuttle Inc,2405,1/5/2000,Global Equity,Common stocks,Emerging markets,Information Technology,TW0002405008,,"5,162,330,624",TWD,Analyze
TT:6197,"Jess-link Products Co., Ltd",6197,11/8/2004,Global Equity,Common stocks,Emerging markets,Information Technology,TW0006197007,,"5,036,047,360",TWD,Analyze
TT:1734,"Sinphar Pharmaceutical Co.,Ltd",1734,8/28/2002,Global Equity,Common stocks,Emerging markets,Health Care,TW0001734002,,"4,981,343,744",TWD,Analyze
TT:1762,Chunghwa Chemical Synthesis & Biotech Co. Ltd. Class A,1762,12/10/2009,Global Equity,Common stocks,Emerging markets,Health Care,TW0001762003,B4YKPN1,"4,971,595,776",TWD,Analyze
TT:1806,Champion Building Materials Co. Ltd.,1806,5/24/1994,Global Equity,Common stocks,Emerging markets,Unknown,TW0001806008,6800527,"4,901,736,960",TWD,Analyze
TT:2402,"Ichia Technologies, Inc",2402,1/18/2000,Global Equity,Common stocks,Emerging markets,Industrials,TW0002402005,6207139,"4,790,329,856",TWD,Analyze
TT:1338,Hiroca Holdings Ltd,1338,12/18/2012,Global Equity,Common stocks,Emerging markets,Consumer Discretionary,KYG451001070,B4PJRX1,"4,569,280,000",TWD,Analyze
TT:8473,FOREST WATER Rg,8473,3/30/2015,Global Equity,Common stocks,Emerging markets,Unknown,TW0008473000,BWG9640,"4,408,352,256",TWD,Analyze
TT:4540,TBI MOTION TECHNOLOGY CO LTD,4540,11/19/2014,Global Equity,Common stocks,Emerging markets,Industrials,TW0004540000,,"4,336,897,024",TWD,Analyze
TT:4943,CONCRAFT HOLDING LTD,4943,7/12/2011,Global Equity,Common stocks,Emerging markets,Information Technology,KYG2346M1033,B6QZ6X5,"4,289,634,304",TWD,Analyze
TT:4108,PhytoHealth Corporation,4108,10/8/2008,Global Equity,Common stocks,Emerging markets,Health Care,TW0004108006,,"4,161,068,288",TWD,Analyze
TT:4526,"Tongtai Machine & Tool Co., Ltd",4526,9/16/2003,Global Equity,Common stocks,Emerging markets,Unknown,TW0004526009,6291905,"4,140,938,752",TWD,Analyze
TT:1451,"Nien Hsing Textile Co., Ltd",1451,1/4/2000,Global Equity,Common stocks,Emerging markets,Unknown,TW0001451003,6591928,"4,088,699,904",TWD,Analyze
TT:6668,Zhong Yang Technology Co. Ltd.,6668,11/30/2017,Global Equity,Common stocks,Emerging markets,Consumer Discretionary,TW0006668007,,"4,055,525,632",TWD,Analyze
TT:4426,"Li Cheng Enterprise Co., Ltd",4426,1/2/2008,Global Equity,Common stocks,Emerging markets,Consumer Durables & Apparel,TW0004426002,B0418Z9,"3,945,669,376",TWD,Analyze
TT:3561,Solartech Energy Corp,3561,6/20/2007,Global Equity,Common stocks,Emerging markets,Industrials,,,"3,941,636,864",TWD,Analyze
TT:2399,Biostar Microtech International Corp.,2399,9/8/1999,Global Equity,Common stocks,Emerging markets,Unknown,TW0002399003,6139191,"3,820,245,248",TWD,Analyze
TT:4552,Lida Holdings Rg,4552,7/20/2016,Global Equity,Common stocks,Emerging markets,Unknown,KYG5479W1033,BYZWVN8,"3,764,200,192",TWD,Analyze
TT:6598,Applied BioCode Corp.,6598,2/9/2017,Global Equity,Common stocks,Emerging markets,Unknown,KYG0488D1051,BYWYT44,"3,432,617,984",TWD,Analyze
TT:6108,APCB Inc.,6108,8/29/2001,Global Equity,Common stocks,Emerging markets,Unknown,TW0006108004,6381806,"3,405,848,832",TWD,Analyze
TT:2705,LEOFOO DEVELOPMENT CO. LTD.,2705,5/24/1994,Global Equity,Common stocks,Emerging markets,Unknown,TW0002705001,6512587,"3,300,148,992",TWD,Analyze
TT:3060,"Min Aik Technology Co., Ltd",3060,4/21/2003,Global Equity,Common stocks,Emerging markets,Industrials,TW0003060000,,"3,184,583,680",TWD,Analyze
TT:1626,Airmate (Cayman) International Co. Ltd.,1626,10/2/2012,Global Equity,Common stocks,Emerging markets,Unknown,KYG0135T1076,B8FT7R3,"3,114,662,656",TWD,Analyze
TT:2841,Taiwan Land Development Corporation,2841,1/5/2000,Global Equity,Common stocks,Emerging markets,Real Estate,TW0002841004,6141088,"2,929,634,304",TWD,Analyze
TT:1417,Carnival Industrial Corporation,1417,1/5/1981,Global Equity,Common stocks,Emerging markets,Unknown,TW0001417004,6177629,"2,697,161,984",TWD,Analyze
TT:3356,GeoVision Inc,3356,3/29/2005,Global Equity,Common stocks,Emerging markets,Information Technology,TW0003356002,,"2,649,751,808",TWD,Analyze
TT:1473,"Tainan Enterprises Co., Ltd",1473,1/5/2000,Global Equity,Common stocks,Emerging markets,Consumer Discretionary,TW0001473007,,"2,616,156,672",TWD,Analyze
TT:6136,Fullerton Technology Co. Ltd.,6136,1/17/2002,Global Equity,Common stocks,Emerging markets,Unknown,TW0006136005,6430184,"2,137,415,936",TWD,Analyze
TT:1416,Kwong Fong Industries Corporation,1416,5/24/1994,Global Equity,Common stocks,Emerging markets,Unknown,TW0001416006,6498193,"2,066,563,200",TWD,Analyze
TT:3607,Coxon Precise Industrial Co. Ltd Class A,3607,1/28/2008,Global Equity,Common stocks,Emerging markets,Unknown,TW0003607008,B2NTK29,"1,958,758,272",TWD,Analyze
TT:2499,"Unity Opto Technology Co., Ltd",2499,2/21/2002,Global Equity,Common stocks,Emerging markets,Information Technology,TW0002499001,,"1,900,028,544",TWD,Analyze
TT:3018,Tung Kai Technology Engineering Co. Ltd.,3018,8/28/2002,Global Equity,Common stocks,Emerging markets,Industrials,TW0003018008,,"1,228,869,504",TWD,Analyze
TT:3519,Green Energy Technology Inc,3519,1/28/2008,Global Equity,Common stocks,Emerging markets,Unknown,TW0003519005,B1CDRR9,"138,875,200",TWD,Analyze
TT:01002T,Cathay No. 1 Real Estate Investment Trust,01002T,10/3/2005,Global Equity,Common stocks,Emerging markets,Unknown,TW00001002T6,B0LCGD9,0,TWD,Analyze
TT:01003T,Shin Kong No. 1 REIT,01003T,10/27/2008,Global Equity,Common stocks,Emerging markets,Real Estate,TW00001003T4,,0,TWD,Analyze
TT:1563,SuperAlloy Industrial Co. Ltd.,1563,1/23/2022,Global Equity,Common stocks,Emerging markets,Consumer Discretionary,,,0,TWD,Analyze
TT:1565,ST.SHINE OPTICAL LTD,1565,1/23/2022,Global Equity,Common stocks,Emerging markets,Health Care,TW0001565000,6673172,0,TWD,Analyze
TT:1580,Sinmag Equipment Corporation,1580,1/23/2022,Global Equity,Common stocks,Emerging markets,Industrials,,,0,TWD,Analyze
